IRASPSC	F450	e_F450	F850	e_F850	SIMBAD	Otype	RA	Dec	SpType
IRAS 18595-3947	-	-	14.3	3.2	RAFGL 5552	Mi*	285.760037823333	-39.7153721841111	O-rich
IRAS 19007-2247	188.6	38.3	95.8	7.7	V* SU Sgr	AB*	285.93230786	-22.7119424444722	M7III
IRAS 19059-2219	<-3.0	<12.6	>-3.9		IRC -20540	OH*	287.228860667917	-22.2384941425	M8:
IRAS 19093-3256	<-3.0	<13.0	>-5.3		V* V342 Sgr	Mi*	288.15023656375	-32.8499215530833	M9
IRAS 19161+2343	-	-	118.9	9.5	RAFGL 2362	OH*	289.561125	23.8244166666667	~
IRAS 19175-0807	-	-	28	5.6	IRC -10502	C*	290.075495389167	-8.03668895186111	C5
IRAS 19178-2620	-	-	35.8	4.2	RAFGL 2370	OH*	290.232337672083	-26.2431988793333	M7III
IRAS 19244+1115	-	-	40.2	5	IRC +10420	pA*	291.70040887	11.35465459025	F8Ia+e
IRAS 19288+2923	-	-	18.5	2.4	OH 63.5 +5.3	OH*	292.709680567083	29.4992561368611	~
IRAS 19296+4331	-	-	134.4	10.8	V* UV Cyg	LP*	292.805333333333	43.6371111111111	M8
IRAS 19327+3024	-	-	22.9	4.8	HD 184738	PN	293.688473963333	30.5163754100833	[WC9]
IRAS 19396+1637	1061	84.9	312	25	V* HM Sge	Sy*	295.487816201667	16.74440457075	M7
IRAS 19422+3506	-	-	<13.9	>-6.4	RAFGL 2445	OH*	296.029169807083	35.2356255101944	M7.5III
IRAS 19503+2219	-	-	<14.6	-2	V* NS Vul	LP?	298.125316666667	22.4539933333333	A2
IRAS 19550-0201	890.2	128.5	459.9	36.8	V* RR Aql	Mi*	299.400261697917	-1.88647855625	M7.5e
IRAS 20028+3910	159.7	22.8	98.9	7.9	IRAS 20028+3910	pA*	301.149928659583	39.31228061375	F3-7I
IRAS 20038-2722	-	-	17.6	2.8	V* V1943 Sgr	AB*	301.730191060417	-27.2249317539167	M7/8III
IRAS 20077-0625	97.3	10.1	27.7	2.6	IRC -10529	OH*	302.616138920417	-6.27048828980556	M:
IRAS 20248-2825	208.4	32.4	56.2	4.6	V* T Mic	AB*	306.979946794583	-28.2610550557222	M7/8III
IRAS 20431+1754	693.8	80.4	126.1	10.1	V* U Del	LP*	311.3676442875	18.0900338140833	M4-6II-III
IRAS 20440-0105	243.3	51.8	62.9	5	IRC +00490	Mi*	311.653913968333	-0.902643399722222	M7
IRAS 20547+0247	388.7	59.9	90.5	7.2	V* U Equ	pA*	314.317844582083	2.97903835763889	~
IRAS 21044-1637	<-3.0	<12.8	>-2.5		V* RS Cap	AB*	316.814292650417	-16.422635181	M6/7III
IRAS 21305+2118	374.6	39.1	80	6.4	MASTER OT J213253.43+213159.7	*	323.223525488333	21.5335150377222	~
IRAS 21341+4508	-	-	24.4	2.5	V* W Cyg	LP*	324.0104007925	45.3745914361111	M4e-M6eIII
IRAS 21419+5832	-	-	31.6	4.5	* mu. Cep	s*r	325.8769210725	58.7800444947222	M2-Ia
IRAS 21543-1421	-	-	<14.7	>-12.6	HD 208519	Pu*	329.25759395	-14.1133731693056	M7/8III
IRAS 21554+6204	-	-	88	7	IRAS 21554+6204	OH*	329.242479166667	62.3127833333333	~
IRAS 22035+3506	-	-	<13.6	-1.6	V* SV Peg	AB*	331.425327560833	35.3484851688889	M7
IRAS 22216+3100	-	-	43.2	5	V* PV Peg	LP*	335.9849618125	31.26175133975	M3
IRAS 22525-2952	411.7	64.4	94.5	7.6	V* V PsA	AB*	343.832007832083	-29.6123672355833	M7/8III
IRAS 23013+3735	-	-	<20.0	>-6.0	V* CF And	LP*	345.9325550775	37.8537834192778	M7
IRAS 23166+1655	-	-	21.7	5	RAFGL 3068	C*	349.802531	17.192537	C
IRAS 23173+2600	139.7	24.3	51	5.1	V* W Peg	Mi*	349.960426344583	26.2787970318056	M6.5-7.5e
IRAS 23365+5159	-	-	<11.6	>-5.4	V* SV Cas	Mi*	354.755934969167	52.2624622943889	M5
IRAS 23420+5618	-	-	32.3	5.3	V* Z Cas	Mi*	356.131676656667	56.5813808516667	M7-e
