RA	Dec	JP11	LID	n_LID	U	B	V	R	I	J	K	L	M	N	H	ref	_RA	_DE
349.2914081	+03.2822889	  3610	 1.00219615	 	 5.210	 4.620	 3.700	 2.990	      	      	      	      	      	      	      	8083	349.29141	+03.28229
349.2710117	-13.8509933	  3612	 1.00219617	 	 8.400	 8.590	 8.140	 7.690	 7.360	 7.340	 6.820	 6.670	      	      	 6.900	8043	349.27101	-13.85099
349.4758967	-09.1825133	  3613	 1.00219688	 	 3.720	 4.260	 4.400	 4.470	 4.600	      	      	      	      	      	      	8029	349.47590	-09.18251
349.4360292	+49.0152997	  3614	 1.00219734	 	 8.500	 6.530	 4.860	 3.400	 2.140	 1.460	 0.370	      	      	      	      	8029	349.43603	+49.01530
349.7060017	-32.5320267	  3615	 1.00219784	 	 6.600	 5.540	 4.410	 3.570	 2.940	      	      	      	      	      	      	8029	349.70600	-32.53203
349.6562200	+68.1114447	  3616	 1.00219916	D	 6.090	 5.600	 4.760	 4.110	 3.660	      	      	      	      	      	      	8029	349.65622	+68.11144
349.9502742	+07.9820917	  3617	 1.00219949	 	 9.160	 8.080	 6.920	 6.080	      	      	      	      	      	      	      	8083	349.95027	+07.98209
350.2090794	-50.3065589	  3618	 1.00220003	 	 6.650	 6.470	 6.050	 5.720	 5.500	      	      	      	      	      	      	8041	350.20908	-50.30656
350.2090794	-50.3065589	  3618	 1.00220003	 	 6.610	 6.460	 6.050	 5.730	 5.510	      	      	      	      	      	      	8121	350.20908	-50.30656
350.1593442	+23.7403369	  3620	 1.00220061	 	 4.870	 4.770	 4.600	 4.390	 4.300	      	      	      	      	      	      	8029	350.15934	+23.74034
350.1593442	+23.7403369	  3620	 1.00220061	 	 4.910	 4.760	 4.590	 4.390	      	      	      	      	      	      	      	8083	350.15934	+23.74034
350.5435967	+56.3482247	  3622	 1.00220300	 	      	      	      	      	      	      	 4.980	      	      	      	 5.160	8111	350.54360	+56.34822
350.7426111	-20.1005800	  3623	 1.00220321	 	 6.030	 5.080	 3.980	 3.160	 2.560	 2.050	 1.350	      	      	      	      	8029	350.74261	-20.10058
350.7426111	-20.1005800	  3623	 1.00220321	 	      	      	      	      	      	 2.070	 1.360	 1.310	      	      	 1.480	8132	350.74261	-20.10058
351.3449339	+23.4041011	  3625	 1.00220657	 	 5.160	 5.020	 4.410	 3.870	 3.550	 3.370	 3.020	      	      	      	      	8029	351.34493	+23.40410
351.5116089	-20.6420142	  3626	 1.00220704	 	 7.670	 5.870	 4.400	 3.270	 2.460	 1.880	 0.940	      	      	      	      	8029	351.51161	-20.64201
351.5116089	-20.6420142	  3626	 1.00220704	 	 7.580	 5.840	 4.370	 3.280	      	      	      	      	      	      	      	8083	351.51161	-20.64201
351.6143531	+08.6438442	  3628	 1.00220773	 	 7.850	 7.720	 7.120	 6.620	      	      	      	      	      	      	      	8083	351.61435	+08.64384
351.7331472	+01.2556081	  3629	 1.00220825	 	 4.940	 4.980	 4.940	 4.870	 4.900	      	      	      	      	      	      	8029	351.73315	+01.25561
351.9920631	+06.3789922	  3630	 1.00220954	 	 6.410	 5.380	 4.300	 3.500	 2.970	 2.540	 1.880	      	      	      	      	8029	351.99206	+06.37899
352.3571528	-48.4000469	  3631	 1.00221098	 	 8.880	 8.720	 8.370	 8.090	 7.900	      	      	      	      	      	      	8121	352.35715	-48.40005
352.2887331	+12.7605536	  3632	 1.00221115	 	 6.240	 5.500	 4.560	 3.820	 3.370	 3.000	 2.440	      	      	      	      	8029	352.28873	+12.76055
352.5080847	+58.5489200	  3633	 1.00221253	V	 4.180	 4.820	 4.940	 4.930	 5.070	      	      	      	      	      	      	8029	352.50808	+58.54892
353.2427472	-37.8182675	  3634	 1.00221507	 	 3.920	 4.280	 4.370	 4.370	 4.440	      	      	      	      	      	      	8029	353.24275	-37.81827
353.3192647	-20.9145042	  3635	 1.00221565	 	 4.750	 4.740	 4.720	 4.650	 4.620	      	      	      	      	      	      	8029	353.31926	-20.91450
353.4164606	+48.8183186	  3636	 1.00221650	 	      	      	      	      	      	      	 4.980	      	      	      	 5.210	8142	353.41646	+48.81832
353.6564050	+40.2364411	  3637	 1.00221756	 	 5.770	 5.690	 5.590	 5.470	 5.410	      	      	      	      	      	      	8029	353.65640	+40.23644
353.7690167	-42.6150747	  3638	 1.00221760	 	 4.860	 4.790	 4.710	 4.590	 4.520	      	      	      	      	      	      	8029	353.76902	-42.61507
354.4624781	-45.4923514	  3639	 1.00222095	 	 4.910	 4.820	 4.740	 4.630	 4.580	      	      	      	      	      	      	8029	354.46248	-45.49235
354.3910106	+46.4581519	  3640	 1.00222107	V	 5.540	 4.840	 3.820	 3.040	 2.470	 1.970	 1.320	      	      	      	      	8029	354.39101	+46.45815
354.5341722	+43.2680731	  3641	 1.00222173	 	 3.900	 4.180	 4.290	 4.290	 4.380	      	      	      	      	      	      	8029	354.53417	+43.26807
354.9876706	+05.6262917	  3642	 1.00222368	 	 4.640	 4.640	 4.130	 3.690	 3.380	      	      	      	      	      	      	8029	354.98767	+05.62629
354.9876706	+05.6262917	  3642	 1.00222368	 	 4.670	 4.640	 4.140	 3.690	      	      	      	      	      	      	      	8083	354.98767	+05.62629
354.8368708	+77.6322758	  3644	 1.00222404	 	 5.190	 4.240	 3.210	 2.460	 1.950	      	      	      	      	      	      	8029	354.83687	+77.63228
355.1021172	+44.3339317	  3645	 1.00222439	 	 3.820	 4.060	 4.140	 4.150	 4.220	      	      	      	      	      	      	8029	355.10212	+44.33393
355.3937033	-18.0270769	  3646	 1.00222547	 	      	 6.930	      	 4.130	 3.210	      	      	      	      	      	      	8135	355.39370	-18.02708
355.4408578	-17.8165331	  3647	 1.00222574	 	 6.140	 5.650	 4.840	 4.220	 3.800	      	      	      	      	      	      	8029	355.44086	-17.81653
355.4408578	-17.8165331	  3647	 1.00222574	 	      	 5.620	 4.800	 4.190	 3.780	      	      	      	      	      	      	8146	355.44086	-17.81653
355.5116925	+01.7800408	  3649	 1.00222603	 	 4.790	 4.720	 4.510	 4.330	 4.230	      	      	      	      	      	      	8029	355.51169	+01.78004
355.6806006	-14.5449047	  3650	 1.00222661	 	 4.340	 4.470	 4.510	 4.490	 4.540	      	      	      	      	      	      	8029	355.68060	-14.54490
355.5873006	+64.5153914	  3651	 1.00222670	 	10.580	 8.460	 6.580	 4.910	 3.580	 2.750	 1.500	 1.280	      	      	 1.790	8057	355.58730	+64.51539
355.9978581	+29.3614536	  3652	 1.00222842	D	 6.520	 5.890	 4.930	 4.220	 3.740	      	      	      	      	      	      	8029	355.99786	+29.36145
356.5979856	+03.4868108	  3653	 1.00223075	V	11.150	 7.650	 5.040	 3.170	 1.820	 0.920	-0.560	-0.890	      	      	      	8029	356.59799	+03.48681
357.2314422	-28.1302678	  3654	 1.00223352	 	 4.560	 4.570	 4.570	 4.530	 4.550	      	      	      	      	      	      	8029	357.23144	-28.13027
357.8385364	+09.3133508	  3655	 1.00223637	 	 9.180	 7.450	 5.790	 5.530	 4.990	      	      	      	      	      	      	8029	357.83854	+09.31335
358.5959683	+57.4993822	  3656	 1.00224014	V	 7.000	 5.850	 4.590	 3.630	 2.890	 2.590	 2.030	 1.800	      	      	      	8029	358.59597	+57.49938
358.6754828	+61.8388978	  3657	 1.00224055	 	      	 7.910	 7.200	 6.530	 5.980	      	      	      	      	      	      	8054	358.67548	+61.83890
359.4396933	+25.1414011	  3658	 1.00224427	 	 7.920	 6.250	 4.660	 3.200	 1.860	 1.120	 0.030	-0.200	      	      	      	8029	359.43969	+25.14140
359.6303361	-24.1693608	  3659	 1.00224514	 	 8.360	 8.260	 7.990	 7.760	 7.580	      	      	      	      	      	      	8121	359.63034	-24.16936
359.7522472	+55.7549283	  3660	 1.00224572	D	 3.990	 4.820	 4.880	 4.840	 4.950	      	      	      	      	      	      	8029	359.75225	+55.75493
359.8278733	+06.8633211	  3661	 1.00224617	 	 4.500	 4.430	 4.010	 3.630	 3.390	      	      	      	      	      	      	8029	359.82787	+06.86332
359.9790781	-65.5771319	  3662	 1.00224686	 	      	 4.370	 4.460	 4.440	 4.490	      	      	      	      	      	      	8050	359.97908	-65.57713
000.2305167	-20.4239861	  3663	 1.00224818	 	10.200	10.060	 9.850	 9.690	 9.490	      	      	      	      	      	      	8121	000.23052	-20.42399
000.3160633	+60.3552822	  3664	 1.00224855	 	14.290	10.000	 7.160	 5.020	 3.350	 2.190	 0.600	 0.340	      	      	      	8007	000.31606	+60.35528
000.3160633	+60.3552822	  3664	 1.00224855	 	14.080	 9.970	 7.130	 4.990	 3.340	 2.190	 0.600	 0.340	      	      	      	8048	000.31606	+60.35528
000.3987656	-77.0657244	  3666	 1.00224889	 	      	 6.030	 4.790	 3.810	 3.140	      	      	      	      	      	      	8050	000.39877	-77.06572
000.5423133	+27.0822561	  3667	 1.00224930	 	 6.470	 6.420	 5.750	 5.160	 4.730	 4.500	 3.940	 3.920	      	      	 4.050	8043	000.54231	+27.08226
000.4900789	-06.0140722	  3668	 1.00224935	 	      	      	      	      	      	      	      	      	      	 0.080	      	8004	000.49008	-06.01407
000.4900789	-06.0140722	  3668	 1.00224935	 	      	      	      	      	      	      	      	      	-0.460	-0.260	      	8019	000.49008	-06.01407
000.4900789	-06.0140722	  3668	 1.00224935	 	 7.880	 6.040	 4.410	 2.850	 1.440	 0.660	-0.470	-0.650	      	      	      	8029	000.49008	-06.01407
000.4900789	-06.0140722	  3668	 1.00224935	 	      	      	      	      	      	      	      	      	-0.460	-0.400	      	8035	000.49008	-06.01407
000.5307875	-14.6758500	  3672	 1.00224960	V	16.960	16.200	14.600	 9.200	 5.500	13.390	 2.030	 1.600	      	      	      	8038	000.53079	-14.67585
000.5307875	-14.6758500	  3672	 1.00224960	V	16.630	16.080	14.450	 9.160	 5.440	 3.390	 2.030	 1.600	      	      	      	8048	000.53079	-14.67585
000.8571364	+63.6405200	  3674	 1.00225094	 	 6.010	 6.560	 6.220	 5.900	 5.670	      	      	      	      	      	      	8054	000.85714	+63.64052
000.8631156	+55.5509003	  3675	 1.00225095	 	      	      	      	      	      	      	 7.750	      	      	      	 7.790	8111	000.86312	+55.55090
000.9349575	-17.3359878	  3676	 1.00225132	 	 4.400	 4.520	 4.560	 4.530	 4.570	      	      	      	      	      	      	8029	000.93496	-17.33599
001.3517828	-37.3573619	  3677	 1.00225213	 	      	      	      	      	      	 5.270	 4.505	 4.305	      	      	 4.740	8149	001.35178	-37.35736
297.3871417	+32.9561944	  3678	 1.00225985	 	      	      	      	      	      	      	 8.300	      	      	      	 8.540	8111	297.38714	+32.95619
302.0190083	+36.1238889	  3679	 1.00227836	 	      	      	      	      	      	      	 8.820	      	      	      	 9.190	8111	302.01901	+36.12389
304.3737667	+37.3086472	  3680	 1.00228766	 	      	      	      	      	      	      	 7.530	      	      	      	 7.600	8102	304.37377	+37.30865
283.4125000	+12.8400000	  3681	 1.00229923	 	12.870	10.860	 9.100	 7.550	 6.250	 5.440	 4.300	 4.110	      	      	 4.530	8057	283.41250	+12.84000
278.4977083	+51.7220556	  3682	 1.00234677	 	      	      	      	      	      	      	 4.870	 4.700	      	      	 5.000	8130	278.49771	+51.72206
345.9899397	+54.1982789	  3683	 1.00236031	 	      	      	      	      	      	      	 7.980	      	      	      	 8.110	8111	345.98994	+54.19828
031.8002083	+58.7877500	  3684	 1.00236947	 	13.100	10.810	 8.620	 6.770	 5.270	 4.260	 2.960	 2.720	      	      	      	8039	031.80021	+58.78775
038.3264908	+56.3180044	  3685	 1.00236970	 	      	      	      	      	      	      	 9.300	      	      	      	      	8111	038.32649	+56.31800
           	           	  3686	 1.00236979	 	13.020	10.430	 8.070	 6.020	 4.310	 3.290	 2.000	 1.610	      	      	      	8039	         	
042.6578797	+56.9834031	  3687	 1.00237008	 	      	      	      	      	      	      	      	      	 1.280	      	      	8035	042.65788	+56.98340
042.6578797	+56.9834031	  3687	 1.00237008	 	14.800	12.240	 9.620	 6.990	 4.750	 3.450	 2.000	 1.510	      	      	      	8048	042.65788	+56.98340
198.6947811	+57.0178369	  3687	 1.00238208	 	10.950	10.550	 9.740	 9.080	 8.650	      	      	      	      	      	      	8039	198.69478	+57.01784
200.8470731	+57.9061467	  3690	 1.00238224	 	12.250	11.050	 9.770	 8.640	 7.830	      	      	      	      	      	      	8039	200.84707	+57.90615
336.9977822	+57.6958750	  3691	 1.00239960	D	      	      	      	      	      	      	 4.680	 4.400	      	      	 4.930	8130	336.99778	+57.69587
336.9977822	+57.6958750	  3691	 1.00239960	D	      	      	      	      	      	 5.520	 4.690	 4.480	      	      	 4.950	8134	336.99778	+57.69587
076.9565328	+30.4014336	  3693	 1.00240764	 	10.750	11.000	10.400	 9.620	 8.900	 8.100	 6.700	 5.600	 5.100	      	      	8027	076.95653	+30.40143
076.9565328	+30.4014336	  3693	 1.00240764	 	      	      	      	      	      	 8.090	 6.690	 5.510	      	      	      	8048	076.95653	+30.40143
076.9565328	+30.4014336	  3693	 1.00240764	 	      	      	      	      	      	      	 6.580	      	      	      	 7.250	8140	076.95653	+30.40143
082.2849631	+11.8701944	  3696	 1.00244138	 	10.910	10.620	 9.660	 8.840	 8.210	 7.500	 6.100	 5.000	      	      	      	8027	082.28496	+11.87019
082.2849631	+11.8701944	  3696	 1.00244138	 	11.050	10.750	 9.750	 8.870	 8.250	 7.670	 6.110	 5.040	 2.850	      	      	8039	082.28496	+11.87019
082.2849631	+11.8701944	  3696	 1.00244138	 	      	      	      	      	      	      	 5.830	 4.800	      	      	 6.620	8140	082.28496	+11.87019
084.1222792	+06.8339361	  3699	 1.00245465	 	      	      	      	      	      	      	 8.170	      	      	      	 8.440	8140	084.12228	+06.83394
084.4618458	+26.7201389	  3700	 1.00245561	 	      	      	      	      	      	      	 6.820	 5.650	      	      	 7.760	8111	084.46185	+26.72014
084.4874583	+28.9846111	  3701	 1.00245580	 	14.390	12.040	 9.890	 7.970	 6.450	 5.510	 4.130	 3.850	      	      	 4.460	8057	084.48746	+28.98461
087.9764583	+28.2618564	  3702	 1.00248411	 	      	      	      	      	      	      	 8.600	      	      	      	 8.600	8111	087.97646	+28.26186
089.8832361	+32.8869375	  3703	 1.00249845	 	      	      	      	      	      	      	 8.700	      	      	      	 8.700	8111	089.88324	+32.88694
089.9731458	+25.0886194	  3704	 1.00250028	 	      	      	      	      	      	      	 7.930	      	      	      	 8.290	8111	089.97315	+25.08862
090.4999522	+16.5157583	  3705	 1.00250550	 	      	      	      	      	      	      	 6.770	 5.570	      	      	 7.650	8111	090.49995	+16.51576
090.7029083	+24.9118972	  3706	 1.00250663	 	13.220	11.440	 9.650	 8.090	 6.780	 5.920	 4.730	 4.470	      	      	 4.980	8057	090.70291	+24.91190
090.7229167	+19.4772222	  3707	 1.00250720	 	12.470	10.790	 9.080	 7.790	 6.800	 6.130	 5.100	 4.920	      	      	 5.310	8057	090.72292	+19.47722
092.9316667	+23.0305556	  3708	 1.00253017	 	12.940	10.930	 9.120	 7.690	 6.700	 5.900	 4.810	 4.600	      	      	 5.040	8057	092.93167	+23.03056
094.7455133	+10.3260053	  3709	 1.00255045	 	12.340	10.540	 8.900	 7.200	 5.670	 4.850	 3.650	 3.430	      	      	 3.920	8057	094.74551	+10.32601
097.0640125	+20.5792972	  3710	 1.00257684	 	      	11.960	10.210	 7.050	 4.640	 3.670	 2.420	-0.130	      	      	      	8048	097.06401	+20.57930
098.2716247	+10.3222178	  3711	 1.00259431	 	      	      	      	      	      	      	 5.620	 4.580	      	      	 6.560	8111	098.27162	+10.32222
098.3842958	+08.3355778	  3712	 1.00259597	 	      	      	      	      	      	      	 7.910	      	      	      	 7.930	8111	098.38430	+08.33558
099.2950000	+17.5648056	  3713	 1.00260655	 	      	      	      	      	      	 6.660	 5.860	 5.850	      	      	 6.040	8134	099.29500	+17.56481
105.6500000	+09.1500000	  3714	 1.00268326	 	      	11.520	11.560	11.510	11.560	      	      	      	      	      	      	8059	105.65000	+09.15000
072.5789125	-67.6606028	  3715	 1.00268605	 	      	11.230	11.350	11.390	11.500	      	      	      	      	      	      	8059	072.57891	-67.66060
073.3751042	-66.9245194	  3716	 1.00268653	 	      	10.710	10.730	10.650	10.700	      	      	      	      	      	      	8059	073.37510	-66.92452
072.3016472	-69.4565300	  3717	 1.00268654	 	      	10.690	10.530	10.350	10.210	      	      	      	      	      	      	8059	072.30165	-69.45653
073.7389633	-66.7524531	  3718	 1.00268675	 	      	10.850	10.810	10.670	10.640	      	      	      	      	      	      	8059	073.73896	-66.75245
073.0000000	-69.4166667	  3719	 1.00268718	 	      	10.960	10.720	10.440	10.170	      	      	      	      	      	      	8059	073.00000	-69.41667
073.4303383	-68.7148150	  3720	 1.00268729	 	      	11.100	10.990	10.750	10.660	      	      	      	      	      	      	8059	073.43034	-68.71481
074.4500000	-66.4550000	  3721	 1.00268743	 	      	      	      	      	      	      	11.800	      	      	      	11.900	8143	074.45000	-66.45500
073.5594047	-69.2101242	  3722	 1.00268757	 	      	11.770	10.240	 9.200	 8.520	      	      	      	      	      	      	8059	073.55940	-69.21012
073.5594047	-69.2101242	  3722	 1.00268757	 	      	      	      	      	      	 8.060	 7.440	 7.200	      	      	 7.610	8129	073.55940	-69.21012
074.0458333	-69.2583333	  3724	 1.00268809	 	      	11.860	11.920	11.870	12.000	      	      	      	      	      	      	8059	074.04583	-69.25833
074.1961631	-69.8402200	  3725	 1.00268835	 	      	10.780	10.630	10.260	10.130	      	      	      	      	      	      	8059	074.19616	-69.84022
075.7867556	-66.9596914	  3726	 1.00268907	 	      	10.620	10.620	10.500	10.490	      	      	      	      	      	      	8059	075.78676	-66.95969
076.0620958	-67.2514889	  3727	 1.00268939	 	      	11.050	10.950	10.760	10.700	      	      	      	      	      	      	8059	076.06210	-67.25149
076.3009083	-66.7368222	  3728	 1.00268946	 	      	10.400	10.310	10.140	10.050	      	      	      	      	      	      	8059	076.30091	-66.73682
075.6166667	-70.6850000	  3729	 1.00268993	 	      	12.020	11.990	11.890	11.870	      	      	      	      	      	      	8059	075.61667	-70.68500
075.5308075	-71.3369764	  3730	 1.00269006	 	      	10.590	10.540	10.410	10.360	      	      	      	      	      	      	8059	075.53081	-71.33698
075.5308075	-71.3369764	  3730	 1.00269006	 	      	      	      	      	      	 9.200	 9.010	      	      	      	 9.080	8129	075.53081	-71.33698
075.5308075	-71.3369764	  3730	 1.00269006	 	      	      	      	      	      	 9.580	 9.320	      	      	      	 9.510	8143	075.53081	-71.33698
076.8291667	-68.5333333	  3733	 1.00269050	 	      	11.630	11.700	11.620	11.710	      	      	      	      	      	      	8059	076.82917	-68.53333
077.5949497	-68.7732806	  3734	 1.00269128	 	      	10.410	10.410	10.180	10.180	      	      	      	      	      	      	8059	077.59495	-68.77328
077.4121614	-71.4006200	  3735	 1.00269172	 	      	10.680	10.610	10.390	10.300	      	      	      	      	      	      	8059	077.41216	-71.40062
078.3325000	-69.3708333	  3736	 1.00269217	 	      	11.940	11.880	11.450	11.520	      	      	      	      	      	      	8059	078.33250	-69.37083
078.3325000	-69.3708333	  3736	 1.00269217	 	      	      	      	      	      	11.510	 9.760	 8.100	      	      	10.930	8143	078.33250	-69.37083
078.4750000	-69.5300000	  3738	 1.00269227	 	      	11.990	11.790	11.040	 9.990	      	      	      	      	      	      	8059	078.47500	-69.53000
078.4750000	-69.5300000	  3738	 1.00269227	 	      	      	      	      	      	 9.220	 8.130	      	      	      	 8.460	8143	078.47500	-69.53000
079.4837500	-69.2675000	  3740	 1.00269321	 	      	10.920	10.830	10.510	10.420	      	      	      	      	      	      	8059	079.48375	-69.26750
079.6000000	-69.2000000	  3741	 1.00269333	 	      	11.130	11.220	11.200	11.320	      	      	      	      	      	      	8059	079.60000	-69.20000
080.7000000	-68.0166667	  3742	 1.00269445	 	      	11.700	11.450	10.890	10.690	      	      	      	      	      	      	8059	080.70000	-68.01667
080.7133156	-71.7178667	  3743	 1.00269475	 	      	11.550	11.560	11.470	11.380	      	      	      	      	      	      	8059	080.71332	-71.71787
081.6888083	-68.8313417	  3744	 1.00269546	 	      	 9.880	 9.900	 9.800	 9.800	      	      	      	      	      	      	8059	081.68881	-68.83134
081.5470833	-71.5611111	  3745	 1.00269547	 	      	11.660	11.600	11.480	11.440	      	      	      	      	      	      	8059	081.54708	-71.56111
082.0736667	-69.1378333	  3746	 1.00269599	 	      	10.230	10.020	 9.400	 8.760	      	      	      	      	      	      	8059	082.07367	-69.13783
082.0736667	-69.1378333	  3746	 1.00269599	 	      	      	      	      	      	 8.900	 7.810	      	      	      	 8.200	8143	082.07367	-69.13783
082.5652458	-67.5394556	  3748	 1.00269644	 	      	11.170	11.180	11.100	11.140	      	      	      	      	      	      	8059	082.56525	-67.53946
082.6990758	-71.0673050	  3749	 1.00269660	 	      	11.140	11.160	11.090	11.160	      	      	      	      	      	      	8059	082.69908	-71.06730
082.7086717	-69.5248306	  3750	 1.00269661	 	      	10.450	10.330	10.150	10.020	      	      	      	      	      	      	8059	082.70867	-69.52483
082.7145042	-69.0496250	  3751	 1.00269662	 	      	10.650	10.410	10.090	 9.910	      	      	      	      	      	      	8059	082.71450	-69.04962
082.8145833	-71.0691667	  3752	 1.00269676	 	      	11.360	11.470	11.470	11.540	      	      	      	      	      	      	8059	082.81458	-71.06917
082.9181208	-69.8839389	  3753	 1.00269696	 	      	      	      	      	      	10.550	 9.660	      	      	      	10.060	8129	082.91812	-69.88394
082.9678333	-68.5441333	  3754	 1.00269700	 	      	10.540	10.540	10.380	10.380	      	      	      	      	      	      	8059	082.96783	-68.54413
083.1000000	-67.7016667	  3755	 1.00269723	 	      	10.970	 9.930	 9.170	 8.640	      	      	      	      	      	      	8059	083.10000	-67.70167
083.1000000	-67.7016667	  3755	 1.00269723	 	      	      	      	      	      	 8.180	 7.630	 7.460	      	      	 7.750	8129	083.10000	-67.70167
083.5936242	-67.0232172	  3757	 1.00269781	 	      	 9.950	 9.880	 9.750	 9.680	      	      	      	      	      	      	8059	083.59362	-67.02322
083.6431458	-66.9731639	  3758	 1.00269787	 	      	10.920	10.810	10.610	10.490	      	      	      	      	      	      	8059	083.64315	-66.97316
083.7000000	-67.3566667	  3759	 1.00269797	 	      	10.930	10.890	10.760	10.690	      	      	      	      	      	      	8059	083.70000	-67.35667
083.7250000	-67.3550000	  3760	 1.00269801	 	      	10.590	10.510	10.370	10.310	      	      	      	      	      	      	8059	083.72500	-67.35500
083.9541667	-67.4400000	  3761	 1.00269841	 	      	11.970	11.870	11.630	11.490	      	      	      	      	      	      	8059	083.95417	-67.44000
083.9791667	-67.4633333	  3762	 1.00269845	 	      	11.760	11.780	11.670	11.720	      	      	      	      	      	      	8059	083.97917	-67.46333
084.1808333	-69.4961111	  3763	 1.00269858	 	      	11.090	11.160	10.990	11.120	      	      	      	      	      	      	8059	084.18083	-69.49611
084.1750000	-69.4983333	  3764	 1.00269859	 	      	10.420	10.480	10.450	10.510	      	      	      	      	      	      	8059	084.17500	-69.49833
084.4543000	-69.0856194	  3765	 1.00269891	 	      	11.510	11.340	11.160	11.050	      	      	      	      	      	      	8059	084.45430	-69.08562
084.4625000	-68.9150000	  3766	 1.00269896	 	      	11.330	11.320	11.210	11.290	      	      	      	      	      	      	8059	084.46250	-68.91500
084.5399083	-69.1059333	  3767	 1.00269902	 	      	10.580	10.210	 9.810	 9.510	      	      	      	      	      	      	8059	084.53991	-69.10593
085.0507167	-69.6680111	  3768	 1.00269953	 	      	10.820	 9.940	 9.220	 8.790	      	      	      	      	      	      	8059	085.05072	-69.66801
085.0507167	-69.6680111	  3768	 1.00269953	 	      	      	      	      	      	 8.450	 7.880	 7.150	      	      	 8.160	8129	085.05072	-69.66801
085.2408697	-69.2586572	  3770	 1.00269982	 	      	11.090	10.740	10.410	10.080	      	      	      	      	      	      	8059	085.24087	-69.25866
085.3653250	-69.8010361	  3770	 1.00269992	 	      	11.250	11.200	11.040	10.990	      	      	      	      	      	      	8059	085.36532	-69.80104
086.3192414	-68.9977669	  3772	 1.00270086	 	      	10.550	10.300	10.020	 9.810	      	      	      	      	      	      	8059	086.31924	-68.99777
087.2583333	-70.0433333	  3773	 1.00270151	 	      	12.100	12.000	11.820	11.740	      	      	      	      	      	      	8059	087.25833	-70.04333
087.8366017	-70.2859250	  3774	 1.00270196	 	      	11.540	11.610	11.540	11.640	      	      	      	      	      	      	8059	087.83660	-70.28592
071.7685358	-67.1147533	  3775	 1.00270754	 	      	11.370	11.270	11.070	11.020	      	      	      	      	      	      	8059	071.76854	-67.11475
075.0270042	-65.7608333	  3776	 1.00270933	 	      	10.980	10.980	10.890	10.870	      	      	      	      	      	      	8059	075.02700	-65.76083
075.3062292	-65.8109333	  3777	 1.00270949	 	      	11.070	11.160	11.100	11.130	      	      	      	      	      	      	8059	075.30623	-65.81093
080.2571264	-65.8006767	  3778	 1.00271182	 	      	10.290	 9.710	 9.180	 8.870	      	      	      	      	      	      	8059	080.25713	-65.80068
080.2571264	-65.8006767	  3778	 1.00271182	 	      	      	      	      	      	 8.540	 8.320	 7.900	      	      	 8.410	8129	080.25713	-65.80068
080.4285625	-65.7492250	  3780	 1.00271191	 	      	10.820	10.060	 9.070	 8.230	      	      	      	      	      	      	8059	080.42856	-65.74922
080.4285625	-65.7492250	  3780	 1.00271191	 	      	      	      	      	      	 7.530	 6.690	 6.510	      	      	 6.890	8129	080.42856	-65.74922
080.4209958	-65.8686833	  3782	 1.00271192	 	      	10.700	10.580	10.440	10.290	      	      	      	      	      	      	8059	080.42100	-65.86868
081.9434833	-65.6821222	  3783	 1.00271279	 	      	11.350	11.260	11.100	10.990	      	      	      	      	      	      	8059	081.94348	-65.68212
057.4014189	+38.9820703	  3784	 1.00275877	 	      	      	      	      	      	      	 5.950	 4.650	      	      	 6.750	8140	057.40142	+38.98207
057.4014189	+38.9820703	  3784	 1.00275877	D	      	      	      	      	      	      	 6.070	 5.040	      	      	 6.810	8111	057.40142	+38.98207
057.4014189	+38.9820703	  3784	 1.00275877	V	      	      	      	      	      	      	 6.010	 5.200	      	      	 6.880	8140	057.40142	+38.98207
055.1956958	+32.5315917	  3784	 1.00278937	 	      	      	      	      	      	      	 7.470	 6.610	      	      	 8.230	8140	055.19570	+32.53159
064.8159656	+29.1074606	  3788	 1.00281934	 	12.720	12.890	11.950	10.830	 9.850	      	      	      	      	      	      	8027	064.81597	+29.10746
073.9974356	+30.5670903	  3789	 1.00282624	V	10.390	 9.980	 9.090	 8.350	 7.790	 7.200	 5.800	 4.900	 3.500	      	      	8027	073.99744	+30.56709
073.9974356	+30.5670903	  3789	 1.00282624	V	      	      	      	      	      	 7.210	 5.820	 4.940	      	      	      	8048	073.99744	+30.56709
073.9974356	+30.5670903	  3789	 1.00282624	V	      	      	      	      	      	      	 6.080	      	      	      	 6.550	8140	073.99744	+30.56709
065.4892036	+28.4432122	  3792	 1.00283571	 	12.200	11.790	10.840	 9.940	 9.040	      	      	      	      	      	      	8027	065.48920	+28.44321
065.4892036	+28.4432122	  3792	 1.00283571	 	12.180	11.570	10.460	 9.350	 8.410	 7.700	 5.530	 4.140	      	      	      	8048	065.48920	+28.44321
065.4976436	+19.5351192	  3794	 1.00284419	 	12.440	11.700	10.450	 9.330	 8.420	 7.550	 5.530	 4.000	 2.700	      	      	8027	065.49764	+19.53512
065.4976436	+19.5351192	  3794	 1.00284419	 	12.220	11.470	10.250	 9.150	 8.280	 7.390	 5.820	 4.420	      	      	      	8048	065.49764	+19.53512
067.5166281	+18.2303856	  3796	 1.00285846	 	11.220	11.830	10.790	 9.820	 9.040	      	      	      	      	      	      	8027	067.51663	+18.23039
070.7324033	+18.9581714	  3797	 1.00285968	 	      	      	      	      	      	      	 5.650	 5.400	      	      	 5.870	8130	070.73240	+18.95817
