RA	Dec	JP11	LID	n_LID	U	B	V	R	I	J	K	L	M	N	H	ref	_RA	_DE
191.3940917	+24.9219389	    74	 0.02502556	 	11.370	10.560	 9.550	 8.810	 8.300	      	      	      	      	      	      	8061	191.39409	+24.92194
183.1256792	+25.2755194	    75	 0.02602319	 	12.150	11.140	10.030	 9.210	 8.660	      	      	      	      	      	      	8097	183.12568	+25.27552
184.9542250	+25.2325250	    76	 0.02602327	 	12.220	11.150	10.000	 9.140	 8.600	      	      	      	      	      	      	8097	184.95422	+25.23252
185.8965833	+26.0788056	    77	 0.02602341	 	12.660	11.460	10.290	 9.380	 8.790	      	      	      	      	      	      	8061	185.89658	+26.07881
186.3978875	+26.1151639	    78	 0.02602348	 	12.150	11.280	10.280	 9.470	 8.950	      	      	      	      	      	      	8061	186.39789	+26.11516
188.7741250	+25.2989361	    79	 0.02602364	 	11.980	11.150	10.150	 9.350	 8.890	      	      	      	      	      	      	8097	188.77412	+25.29894
190.0728189	+25.6466231	    80	 0.02602378	 	12.590	11.200	 9.950	 9.020	 8.380	      	      	      	      	      	      	8061	190.07282	+25.64662
191.0531500	+25.9405361	    81	 0.02602386	 	12.490	11.720	10.670	 9.880	 9.310	      	      	      	      	      	      	8061	191.05315	+25.94054
293.1329589	+26.3905931	    82	 0.02603578	 	 9.560	 9.730	 9.310	 8.930	      	      	      	      	      	      	      	8104	293.13296	+26.39059
183.6120208	+26.2428194	    83	 0.02702106	 	12.320	11.300	10.240	 9.430	 8.910	      	      	      	      	      	      	8061	183.61202	+26.24282
184.0795167	+26.9271139	    84	 0.02702110	 	12.140	11.300	10.280	 9.490	 9.010	      	      	      	      	      	      	8097	184.07952	+26.92711
189.5622500	+26.3578083	    85	 0.02702154	 	11.550	11.040	10.160	 9.440	 8.980	      	      	      	      	      	      	8061	189.56225	+26.35781
190.7259542	+26.5722972	    86	 0.02702164	 	12.370	11.590	10.580	 9.890	 9.390	      	      	      	      	      	      	8097	190.72595	+26.57230
192.2971708	+26.8848889	    87	 0.02702174	 	11.600	10.740	 9.680	 8.930	 8.450	      	      	      	      	      	      	8061	192.29717	+26.88489
192.6405250	+27.1716778	    88	 0.02702178	 	12.230	11.400	10.410	 9.700	 9.210	      	      	      	      	      	      	8097	192.64052	+27.17168
192.7781708	+26.4106333	    89	 0.02702180	 	11.170	10.730	 9.880	 9.200	 8.760	      	      	      	      	      	      	8097	192.77817	+26.41063
183.1284917	+27.2051333	    90	 0.02802088	 	12.190	11.250	10.210	 9.390	 8.880	      	      	      	      	      	      	8061	183.12849	+27.20513
183.6753708	+27.8904611	    91	 0.02802092	 	11.480	11.100	10.330	 9.720	 9.380	      	      	      	      	      	      	8061	183.67537	+27.89046
