#DM	RA	Dec	U	B1	B	B2	V2	V1	V	G
-59.00008 	2.89375	-58.9103	9.479	9.205	8.134	9.441	-99.999	9.075	 8.332	9.381
-20.00016 	2.9475	-19.7103	10.691	10.473	9.437	10.772	-99.999	10.443	 9.714	10.757
-32.00037 	2.94167	-32.2936	12.599	12.007	10.767	11.938	-99.999	11.394	10.630	11.602
-42.00032 	2.985	-42.1769	8.921	8.184	6.872	8.001	-99.999	7.291	 6.520	7.484
+62.00020 	3.07625	62.9064	11.701	10.342	8.749	9.741	-99.999	8.398	 7.564	8.396
-14.00019 	3.025	-13.8103	9.13	8.299	6.943	8.06	-99.999	7.321	 6.549	7.506
-18.00014 	3.04792	-17.9436	9.035	7.812	6.207	7.195	-99.999	6.093	 5.274	6.127
-36.00042 	3.06375	-35.7436	10.7	10.434	9.444	10.83	-99.999	10.607	 9.878	10.952
-22.00030 	3.12083	-22.0769	10.021	9.757	8.638	9.918	-99.999	9.483	 8.727	9.75
+45.00026 	3.18125	46.1064	7.47	7.128	6.137	7.519	-99.999	7.351	 6.620	7.714
-14.00023 	3.15	-13.6103	8.699	8.085	7.196	8.686	-99.999	8.816	 8.123	9.312
-31.00052 	3.14125	-30.8436	10.152	9.771	8.619	9.858	-99.999	9.403	 8.655	9.661
+36.00012 	3.2	37.7064	6.138	6.393	5.595	7.178	-99.999	7.392	 6.701	7.914
+04.00016 	3.18292	4.95639	11.973	11.355	10.054	11.21	-99.999	10.615	 9.840	10.791
-27.00037 	3.16833	-26.8603	10.092	9.451	8.18	9.344	-99.999	8.727	 7.958	8.915
+55.00021 	3.2425	55.8561	9.765	8.575	7.585	8.967	-99.999	8.67	 7.925	8.976
-70.24061 	3.225	-12.7103	15.392	14.604	13.048	14.074	-99.999	13.218	12.409	13.216
          	3.22375	-15.7103	15.783	14.692	13.229	14.235	-99.999	13.162	12.330	13.138
+61.00016 	3.30375	62.0394	7.569	6.892	5.929	7.347	-99.999	7.35	 6.630	7.772
-58.00010 	3.215	-57.9103	-99.999	-99.999	-99.999	-99.999	-99.999	-99.999	 7.219	-99.999
-76.24104 	3.2725	-17.7769	15.057	14.244	12.758	13.781	-99.999	12.984	12.169	13.026
-23.00046 	3.27	-22.4769	8.743	8.156	6.906	8.084	-99.999	7.434	 6.663	7.648
+14.00014 	3.31292	15.1894	1.985	2.388	1.598	3.228	-99.999	3.532	 2.830	4.079
+63.00012 	3.38458	64.1728	10.098	10.259	9.365	10.813	-99.999	10.453	 9.715	10.776
+40.00029 	3.37875	41.0394	6.498	6.109	5.149	6.56	-99.999	6.436	 5.709	6.819
-00.00017 	3.38125	1.25611	11.935	11.733	10.626	11.907	-99.999	11.43	10.674	11.675
-37.00034 	3.36083	-36.8103	14.105	13.133	11.645	12.672	-99.999	11.602	10.769	11.573
+58.00016 	3.47667	59.4394	11.327	10.015	8.943	10.259	-99.999	9.635	 8.866	9.81
          	3.41625	-28.2936	13.101	12.481	11.164	12.305	-99.999	11.695	10.923	11.864
          	3.41625	-28.2936	14.227	13.301	11.842	12.894	-99.999	12.094	11.264	12.1
-26.00056 	3.4425	-26.0272	10.107	8.616	6.964	7.932	-99.999	6.77	 5.954	6.812
-26.00057 	3.44208	-26.2939	9.979	8.7	7.074	8.06	-99.999	6.958	 6.137	6.99
+32.00021 	3.49875	33.2061	6.681	6.14	5.259	6.753	-99.999	6.905	 6.208	7.406
-18.00025 	3.47208	-17.5439	6.833	6.998	6.199	7.779	-99.999	8.034	 7.350	8.578
-11.00028 	3.50042	-10.9439	11.605	10.968	9.662	10.8	-99.999	10.193	 9.417	10.35
-12.00020 	3.5	-11.3106	9.43	9.244	8.184	9.505	-99.999	9.105	 8.359	9.393
-53.00030 	3.46917	-52.5603	10.291	9.985	8.904	10.198	-99.999	9.832	 9.088	10.125
-64.24102 	3.55375	-3.92722	15.597	14.48	12.933	13.934	-99.999	12.931	12.113	12.911
-06.00027 	3.55292	-5.57722	12.581	12.138	10.949	12.17	-99.999	11.678	10.908	11.897
-21.00045 	3.59458	-21.1939	7.798	7.524	6.503	7.874	-99.999	7.607	 6.871	7.942
-28.00047 	3.59083	-27.5272	8.689	8.361	7.258	8.545	-99.999	8.154	 7.406	8.434
-55.00035 	3.56458	-55.0772	7.525	7.253	6.245	7.629	-99.999	7.374	 6.650	7.725
+63.00015 	3.69167	64.5561	8.876	8.495	7.615	9.118	-99.999	9.086	 8.371	9.528
+19.00027 	3.64125	20.2061	9.065	7.51	5.863	6.829	-99.999	5.64	 4.828	5.712
-08.00026 	3.62667	-7.79389	9.392	7.854	6.227	7.203	-99.999	5.943	 5.135	6.034
-63.00019 	3.57417	-62.7772	11.178	9.552	7.873	8.836	-99.999	7.489	 6.664	7.528
-85.00002 	3.32125	-84.9936	10.311	8.697	7.001	7.955	-99.999	6.614	 5.781	6.615
-19.00021 	3.67042	-18.9439	8.872	7.29	5.593	6.547	-99.999	5.264	 4.442	5.3
+21.00013 	3.71792	22.2728	6.763	6.157	5.279	6.781	-99.999	6.938	 6.242	7.43
+08.00019 	3.73542	8.82278	6.631	6.203	5.239	6.639	-99.999	6.525	 5.801	6.911
+08.00019 	3.73542	8.82278	6.874	6.407	5.443	6.854	-99.999	6.748	 6.029	7.144
          	3.73542	8.82278	8.36	8.086	7.099	8.488	-99.999	8.312	 7.590	8.675
+58.00018 	3.80792	59.8058	10.127	8.731	7.758	9.149	-99.999	8.763	 8.020	9.05
+43.00033 	3.81042	44.1892	6.887	6.57	5.735	7.275	-99.999	7.452	 6.753	7.947
+26.00023 	3.79625	27.2728	6.822	6.25	5.378	6.885	-99.999	7.044	 6.349	7.541
-18.00030 	3.77125	-17.2606	10.636	9.998	9.061	10.499	-99.999	10.507	 9.799	10.95
-35.00065 	3.75958	-34.9106	9.715	8.464	6.916	7.936	-99.999	6.966	 6.161	7.042
-04.00017 	3.85375	-3.66056	9.281	8.926	8.08	9.608	-99.999	9.778	 9.086	10.283
          	3.84667	-16.1106	15.205	14.246	12.717	13.741	-99.999	12.286	11.475	12.368
+84.00003 	4.2375	84.9558	8.721	8.038	7.106	8.542	-99.999	8.512	 7.817	8.937
-72.00018 	3.80708	-72.1606	11.309	10.955	9.819	11.084	-99.999	10.649	 9.907	10.924
+76.00005 	4.06875	76.9558	6.45	6.155	5.309	6.836	-99.999	7.037	 6.344	7.549
+03.00026 	3.98292	4.23917	7.708	7.124	6.219	7.699	-99.999	7.819	 7.123	8.313
